Time,Red_Signal
06:00:06.005662,417
06:00:06.006019,412
06:00:06.021746,415
06:00:06.037694,415
06:00:06.038012,418
06:00:06.053027,417
06:00:06.054021,410
06:00:06.069746,397
06:00:06.085562,391
06:00:06.085562,387
06:00:06.101449,389
06:00:06.117590,388
06:00:06.117590,390
06:00:06.133441,389
06:00:06.133914,384
06:00:06.149607,372
06:00:06.165611,369
06:00:06.165968,371
06:00:06.181610,377
06:00:06.196954,383
06:00:06.197950,390
06:00:06.212962,397
06:00:06.213955,397
06:00:06.229744,389
06:00:06.245746,387
06:00:06.245746,392
06:00:06.261745,398
06:00:06.277617,403
06:00:06.278118,409
06:00:06.293635,403
06:00:06.293635,390
06:00:06.309307,378
06:00:06.325312,369
06:00:06.325312,365
06:00:06.341317,369
06:00:06.357323,388
06:00:06.357323,415
06:00:06.373339,449
06:00:06.373838,472
06:00:06.389691,487
06:00:06.405601,502
06:00:06.405601,518
06:00:06.421593,531
06:00:06.437339,544
06:00:06.437339,550
06:00:06.453436,558
06:00:06.453436,550
06:00:06.469459,540
06:00:06.485610,532
06:00:06.486002,529
06:00:06.501781,529
06:00:06.517718,532
06:00:06.518085,533
06:00:06.533027,531
06:00:06.534038,520
06:00:06.549658,509
06:00:06.565739,507
06:00:06.565739,509
06:00:06.581738,515
06:00:06.597706,521
06:00:06.597706,526
06:00:06.613020,532
06:00:06.614030,525
06:00:06.629742,515
06:00:06.645738,513
06:00:06.645738,515
06:00:06.661594,522
06:00:06.677579,529
06:00:06.677963,531
06:00:06.693056,535
06:00:06.694063,528
06:00:06.708959,518
06:00:06.725732,515
06:00:06.725732,514
06:00:06.741555,515
06:00:06.757579,517
06:00:06.757579,517
06:00:06.773600,516
06:00:06.789387,509
06:00:06.789387,489
06:00:06.804759,470
06:00:06.805760,453
06:00:06.821765,447
06:00:06.837775,442
06:00:06.837775,448
06:00:06.852781,464
06:00:06.869737,480
06:00:06.870056,493
06:00:06.885743,514
06:00:06.886023,525
06:00:06.901738,537
06:00:06.917701,540
06:00:06.917701,542
06:00:06.933411,537
06:00:06.949605,520
06:00:06.949605,499
06:00:06.965734,487
06:00:06.966103,480
06:00:06.981742,475
06:00:06.997442,469
06:00:06.998029,465
06:00:07.013033,459
06:00:07.029444,448
06:00:07.029444,430
06:00:07.045594,425
06:00:07.045594,423
06:00:07.061554,427
06:00:07.077572,425
06:00:07.078076,427
06:00:07.092959,424
06:00:07.109602,413
06:00:07.109602,399
06:00:07.125735,398
06:00:07.126101,400
06:00:07.141427,408
06:00:07.157696,410
06:00:07.157696,418
06:00:07.173652,419
06:00:07.189734,417
06:00:07.190092,409
06:00:07.205734,409
06:00:07.205734,412
06:00:07.221711,420
06:00:07.237552,423
06:00:07.238028,429
06:00:07.253620,430
06:00:07.269537,427
06:00:07.270039,417
06:00:07.285494,413
06:00:07.285494,400
06:00:07.301501,393
06:00:07.317506,385
06:00:07.317506,385
06:00:07.333510,382
06:00:07.349517,389
06:00:07.349517,395
06:00:07.365523,420
06:00:07.365523,446
06:00:07.381549,469
06:00:07.397068,486
06:00:07.398066,495
06:00:07.413604,498
06:00:07.429583,491
06:00:07.430088,477
06:00:07.445580,474
06:00:07.446075,469
06:00:07.461687,468
06:00:07.477576,459
06:00:07.477977,457
06:00:07.493763,448
06:00:07.509598,438
06:00:07.509598,420
06:00:07.525721,421
06:00:07.525721,420
06:00:07.541705,429
06:00:07.557695,432
06:00:07.557695,441
06:00:07.573618,444
06:00:07.589726,444
06:00:07.589726,435
06:00:07.605581,442
06:00:07.621697,447
06:00:07.621697,460
06:00:07.636865,464
06:00:07.637950,473
06:00:07.653420,473
06:00:07.669579,471
06:00:07.669579,460
06:00:07.685577,465
06:00:07.701043,468
06:00:07.702034,479
06:00:07.717198,480
06:00:07.717198,482
06:00:07.733374,477
06:00:07.749592,472
06:00:07.749592,461
06:00:07.765046,462
06:00:07.781506,463
06:00:07.782007,465
06:00:07.797351,450
06:00:07.797351,441
06:00:07.813360,425
06:00:07.829367,420
06:00:07.829367,414
06:00:07.845372,421
06:00:07.861380,424
06:00:07.861380,440
06:00:07.877397,462
06:00:07.877897,493
06:00:07.893416,516
06:00:07.909422,527
06:00:07.909422,527
06:00:07.925689,533
06:00:07.941696,533
06:00:07.941696,536
06:00:07.957725,531
06:00:07.958057,531
06:00:07.973536,521
06:00:07.989581,508
06:00:07.989581,488
06:00:08.005573,481
06:00:08.021404,473
06:00:08.021404,471
06:00:08.037441,464
06:00:08.037996,462
06:00:08.053010,454
06:00:08.069591,443
06:00:08.069591,428
06:00:08.085589,427
06:00:08.101568,429
06:00:08.101568,433
06:00:08.117718,434
06:00:08.118071,439
06:00:08.133509,437
06:00:08.149719,430
06:00:08.149719,421
06:00:08.165716,425
06:00:08.181693,429
06:00:08.182197,437
06:00:08.197724,439
06:00:08.197724,446
06:00:08.213031,446
06:00:08.229716,439
06:00:08.229716,429
06:00:08.245058,431
06:00:08.261566,435
06:00:08.261566,441
06:00:08.277440,445
06:00:08.277940,445
06:00:08.293469,432
06:00:08.309076,419
06:00:08.309076,404
06:00:08.325477,400
06:00:08.341486,399
06:00:08.341486,406
06:00:08.357489,411
06:00:08.357489,432
06:00:08.373495,455
06:00:08.389534,469
06:00:08.390037,476
06:00:08.405434,488
06:00:08.421689,499
06:00:08.421689,503
06:00:08.437719,501
06:00:08.437719,498
06:00:08.453410,489
06:00:08.469719,470
06:00:08.469719,451
06:00:08.485685,442
06:00:08.501867,436
06:00:08.501867,430
06:00:08.517717,422
06:00:08.533422,415
06:00:08.533869,403
06:00:08.549571,383
06:00:08.549571,364
06:00:08.565557,355
06:00:08.581522,348
06:00:08.582028,345
06:00:08.597572,343
06:00:08.613349,345
06:00:08.613855,348
06:00:08.629583,345
06:00:08.629933,346
06:00:08.645408,357
06:00:08.661342,371
06:00:08.661938,387
06:00:08.677566,401
06:00:08.693589,416
06:00:08.693956,428
06:00:08.709566,428
06:00:08.709566,432
06:00:08.725685,440
06:00:08.741548,452
06:00:08.741548,464
06:00:08.757439,475
06:00:08.773452,487
06:00:08.773452,498
06:00:08.789427,495
06:00:08.789929,484
06:00:08.804797,477
06:00:08.821697,474
06:00:08.821697,472
06:00:08.836702,477
06:00:08.853708,485
06:00:08.853708,502
06:00:08.868713,515
06:00:08.869714,534
06:00:08.885553,554
06:00:08.901713,575
06:00:08.901713,581
06:00:08.917713,584
06:00:08.933404,586
06:00:08.933864,576
06:00:08.949713,552
06:00:08.950081,533
06:00:08.965628,520
06:00:08.981710,515
06:00:08.982061,503
06:00:08.997824,495
06:00:09.013752,490
06:00:09.014039,482
06:00:09.029566,464
06:00:09.029566,454
06:00:09.044957,449
06:00:09.061576,449
06:00:09.061576,441
06:00:09.077573,439
06:00:09.093732,436
06:00:09.093732,436
06:00:09.108893,424
06:00:09.109897,419
06:00:09.125402,417
06:00:09.141706,420
06:00:09.141706,419
06:00:09.157708,421
06:00:09.173579,422
06:00:09.173948,419
06:00:09.189707,406
06:00:09.205673,399
06:00:09.205926,395
06:00:09.221708,399
06:00:09.221708,396
06:00:09.237715,397
06:00:09.253586,396
06:00:09.253586,392
06:00:09.269610,379
06:00:09.285129,375
06:00:09.285629,364
06:00:09.300856,352
06:00:09.301855,338
06:00:09.316860,332
06:00:09.332873,330
06:00:09.333867,335
06:00:09.348877,342
06:00:09.365658,366
06:00:09.365658,393
06:00:09.381550,423
06:00:09.382051,441
06:00:09.397707,455
06:00:09.413031,460
06:00:09.414036,457
06:00:09.429524,440
06:00:09.445669,432
06:00:09.445669,423
06:00:09.460949,424
06:00:09.461949,414
06:00:09.477701,400
06:00:09.493397,388
06:00:09.493397,381
06:00:09.509706,372
06:00:09.525674,374
06:00:09.525674,376
06:00:09.541561,384
06:00:09.541561,386
06:00:09.557554,391
06:00:09.573396,393
06:00:09.573396,392
06:00:09.589402,379
06:00:09.605484,377
06:00:09.605484,376
06:00:09.621567,383
06:00:09.621914,386
06:00:09.637560,391
06:00:09.653395,392
06:00:09.653859,389
06:00:09.669537,377
06:00:09.685432,377
06:00:09.685944,376
06:00:09.701557,385
06:00:09.701557,388
06:00:09.717881,396
06:00:09.733160,399
06:00:09.733160,403
06:00:09.749520,394
06:00:09.765038,399
